X,M,TE,TE_CI_low,TE_CI_high,NIE,NIE_CI_low,NIE_CI_high,NDE,NDE_CI_low,NDE_CI_high,Prop_Mediated,indirect_p,N,Bootstrap_N,indirect_p_fdr,significant_fdr
Ulceration,KI_67,1.109193948907029,0.910753391473027,1.3116346479809187,0.23293047483152488,0.0971422348328405,0.39396840133199756,0.8762634740755041,0.6993093810462998,1.0408973618078485,0.20999977060914235,0.0,433,2000,0.0,True
ShapeRegularity,CD34,0.8819285309907654,0.0,1.4827351134671318,-0.0028440883240572028,-0.10492173575879382,0.06349290863738577,0.8847726193148227,0.0,1.4645550022016534,-0.0032248512482776033,1.0,433,1511,1.0,False
ShapeRegularity,CD117,0.7353349594234921,0.0,1.3945291438736473,0.09808291337897287,-0.09087921531334361,0.486049743499867,0.6372520460445193,0.0,1.1692929955809341,0.13338535333050203,0.8850653819683414,433,1453,1.0,False
ShapeRegularity,PDGFR-α,1.2308032859761333,1.069242563523956,1.3877826166848692,-0.000599523074286814,-0.018808834959657083,0.016286998063776256,1.23140280905042,1.0657233729087354,1.389926435307133,-0.00048709901989848884,0.9498495486459378,433,1994,1.0,False
ShapeRegularity,Dog-1,1.2407714602256488,1.0901628461522737,1.381502860460397,0.004376269260982403,-0.01879359297462011,0.030333643165697317,1.2363951909646667,1.083165183631533,1.3821640487494116,0.0035270550631350973,0.6343171585792896,433,1999,1.0,False
ShapeRegularity,S-100,1.229475966203291,1.0495923593400855,1.3882711713048048,-5.08405730467057e-05,-0.01885004535315543,0.016902809960102495,1.2295268067763376,1.0444099637257478,1.3911038506092466,-4.1351416737087585e-05,0.934,433,2000,1.0,False
ShapeRegularity,SMA,1.2660628545181383,1.1160707885731265,1.4128280049355277,-0.0061503411524357855,-0.044710144190978345,0.03360669119506707,1.2722131956705742,1.124472551751372,1.4184702723515719,-0.0048578481948880784,0.705,433,2000,1.0,False
ShapeRegularity,KI_67,1.3714723024572222,1.2014974346673273,1.5299964593694186,0.27059982608347627,0.15127163468934668,0.41830631044628225,1.1008724763737459,0.9340148815439111,1.2577723059040173,0.19730608164572583,0.0,433,2000,0.0,True
BloodFlowSignal,CD34,0.03151867390079773,-0.25331129861140067,0.35885801549008967,-0.007015682553301386,-0.14583170491292471,0.14443390271544673,0.03853435645409912,-0.22369560445661632,0.32561257310113456,-0.2225881258641348,1.0,433,1397,1.0,False
BloodFlowSignal,CD117,0.03221739134690745,-0.19794449780160628,0.311031142600732,-0.06584892055949584,-0.3052285086732074,0.011283731571347431,0.09806631190640329,-0.06667868791061489,0.3789571133729987,-2.043893617905122,0.7821782178217822,433,1414,1.0,False
BloodFlowSignal,PDGFR-α,0.06561503112918043,-0.1952288965788739,0.33459035561180267,0.0025569872780507887,-0.017508480221712253,0.027857609758177585,0.06305804385112965,-0.20181301517283218,0.33249056988876247,0.03896953539527684,0.8331658291457287,433,1990,1.0,False
BloodFlowSignal,Dog-1,0.06326884222882116,-0.21859073523845804,0.3372743394506147,0.006256245597194031,-0.016182225884753897,0.04274728815496287,0.057012596631627124,-0.21551817978766982,0.33518712288410657,0.09888351638500653,0.6700100300902708,433,1994,1.0,False
BloodFlowSignal,S-100,0.06699543371296467,-0.19724978788807623,0.3496002082834281,0.002104606758305509,-0.02581238473014208,0.02661594710164561,0.06489082695465914,-0.2081611895089715,0.3472525655584452,0.031414182156391274,0.8166332665330661,433,1996,1.0,False
BloodFlowSignal,SMA,0.07276219767234474,-0.19468920204137144,0.35029482411075263,-0.027969964609412392,-0.08550546890724013,0.009705489016800475,0.10073216228175715,-0.16247606295671246,0.37226279032651866,-0.38440241642183304,0.181,433,2000,1.0,False
BloodFlowSignal,KI_67,0.05723860282770455,-0.23899435441450156,0.37647129566428444,0.03643627515112174,-0.07658044255067387,0.16864679079881378,0.020802327676582813,-0.2460759951321577,0.2929312660818877,0.6365682136022702,0.562,433,2000,1.0,False
