X,M,TE,TE_CI_low,TE_CI_high,NIE,NIE_CI_low,NIE_CI_high,NDE,NDE_CI_low,NDE_CI_high,Prop_Mediated,indirect_p,N,Bootstrap_N,indirect_p_fdr,significant_fdr
Location,PDGFR-α,-0.11218637105669296,-0.2894294687616644,0.06890059132022382,0.006924647724470598,-0.008255303854368245,0.03296429956493056,-0.11911101878116356,-0.29487525357256533,0.06367884227815,-0.061724500572099376,0.42606516290726815,433,1995,1.0,False
Location,Dog-1,-0.10890116543289578,-0.2870099619712543,0.07439547703134822,0.01792057812332382,-0.0021190286441445383,0.05287989051576073,-0.1268217435562196,-0.3027036838015164,0.055684010006605854,-0.16455818495685767,0.1,433,2000,0.9625,False
Location,S-100,-0.10775832548351681,-0.28615351610336454,0.08195081199794794,0.00011458319106612523,-0.008964426685076955,0.01039520684029291,-0.10787290867458292,-0.2881632065261978,0.08004260217215091,-0.0010633349261134572,0.9984992496248124,433,1999,1.0,False
Location,SMA,-0.11169216220038007,-0.2877246150071393,0.07354088440341353,-0.016203520823070007,-0.049945862902854354,0.009419150462913181,-0.09548864137731006,-0.2702264954436574,0.08733480941984732,0.14507303380876682,0.25,433,2000,1.0,False
Location,KI_67,-0.14324322567123132,-0.33856754423641305,0.06986924911083385,-0.07749869782496509,-0.18283684055626215,0.004834262642115421,-0.06574452784626623,-0.25210443428536145,0.12292176943061281,0.5410287115625166,0.068,433,2000,0.935,False
Ulceration,CD34,0.7233242754980845,0.0,1.1674176220458665,0.011867677803420264,-0.03806918378268607,0.167391819991643,0.7114565976946641,0.0,1.158161583448251,0.0164071332947427,0.9540918163672655,433,1503,1.0,False
Ulceration,CD117,0.4957776124664536,0.0,1.012741770341922,0.031718056459575844,-0.16051086121981767,0.35565097752792096,0.4640595560068777,0.0,0.8824924472494147,0.06397637904983461,1.0,433,1499,1.0,False
Ulceration,PDGFR-α,0.9380209923550558,0.7652845034777935,1.1048002483386177,-0.0017745155166813743,-0.02298652340553103,0.014719693953029384,0.9397955078717372,0.7647937432514046,1.1076224829610362,-0.0018917652495453877,0.8657314629258517,433,1996,1.0,False
Ulceration,Dog-1,0.9396352307830623,0.769874109424759,1.104018946514223,0.008885828137316134,-0.005845878186101316,0.03681683180208237,0.9307494026457462,0.7582213706982838,1.093249447488847,0.009456678343053363,0.354,433,2000,1.0,False
Ulceration,S-100,0.9340314111658616,0.7262968540426009,1.1069211897758375,0.00241477825544016,-0.0075598746200146606,0.01940780262476753,0.9316166329104213,0.726263218842237,1.0993652054458811,0.0025853287443791903,0.7723861930965483,433,1999,1.0,False
Ulceration,SMA,0.9512493639152024,0.786435362604569,1.1082124749580904,0.016548596832179307,-0.009301441744136506,0.0558565048857296,0.9347007670830232,0.7661615513810325,1.0913550398822744,0.017396696870384983,0.221,433,2000,1.0,False
